Target,Lab,Cq,SQ
TargetA,LabA,38.56,1.95
TargetA,LabA,,1.95
TargetA,LabA,38.44,1.95
TargetA,LabA,,1.95
TargetA,LabA,,1.95
TargetA,LabA,,1.95
TargetA,LabA,38.39,1.95
TargetA,LabA,,1.95
TargetA,LabA,,1.95
TargetA,LabA,,1.95
TargetA,LabA,,1.95
TargetA,LabA,38.55,1.95
TargetA,LabA,36.48,1.95
TargetA,LabA,37.38,1.95
TargetA,LabA,38.43,1.95
TargetA,LabA,,1.95
TargetA,LabA,,1.95
TargetA,LabA,,1.95
TargetA,LabA,,1.95
TargetA,LabA,,1.95
TargetA,LabA,,1.95
TargetA,LabA,,1.95
TargetA,LabA,38.46,1.95
TargetA,LabA,,0.975
TargetA,LabA,38.94,0.975
TargetA,LabA,38.39,0.975
TargetA,LabA,,0.975
TargetA,LabA,,0.975
TargetA,LabA,,0.975
TargetA,LabA,,0.975
TargetA,LabA,,0.975
TargetA,LabA,38.37,0.975
TargetA,LabA,,0.975
TargetA,LabA,,0.975
TargetA,LabA,,0.975
TargetA,LabA,,0.975
TargetA,LabA,,0.975
TargetA,LabA,38.35,0.975
TargetA,LabA,,0.975
TargetA,LabA,38.39,0.975
TargetA,LabA,38.41,0.975
TargetA,LabA,,0.975
TargetA,LabA,38.31,0.975
TargetA,LabA,37.37,0.975
TargetA,LabA,,0.975
TargetA,LabA,,0.975
TargetA,LabA,39.48,0.975
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,38.5,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,38.51,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,38.64,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,38.34,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.4875
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,38.69,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,38.36,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,37.61,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0.24375
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetA,LabA,,0
TargetB,LabB,22.44,62500
TargetB,LabB,22.75,62500
TargetB,LabB,22.37,62500
TargetB,LabB,22.56,62500
TargetB,LabB,22.29,62500
TargetB,LabB,22.45,62500
TargetB,LabB,22.51,62500
TargetB,LabB,23.03,62500
TargetB,LabB,24.84,12500
TargetB,LabB,24.97,12500
TargetB,LabB,24.8,12500
TargetB,LabB,25.05,12500
TargetB,LabB,24.79,12500
TargetB,LabB,24.68,12500
TargetB,LabB,24.65,12500
TargetB,LabB,25.17,12500
TargetB,LabB,27.08,2500
TargetB,LabB,27.27,2500
TargetB,LabB,27.16,2500
TargetB,LabB,27.33,2500
TargetB,LabB,27.16,2500
TargetB,LabB,27.34,2500
TargetB,LabB,27.17,2500
TargetB,LabB,27.58,2500
TargetB,LabB,29.23,500
TargetB,LabB,29.55,500
TargetB,LabB,29.52,500
TargetB,LabB,29.79,500
TargetB,LabB,29.64,500
TargetB,LabB,29.68,500
TargetB,LabB,29.77,500
TargetB,LabB,30.1,500
TargetB,LabB,32.33,100
TargetB,LabB,32.82,100
TargetB,LabB,32.01,100
TargetB,LabB,32.93,100
TargetB,LabB,32.04,100
TargetB,LabB,32.04,100
TargetB,LabB,32.11,100
TargetB,LabB,33.02,100
TargetB,LabB,32.4,100
TargetB,LabB,32.66,100
TargetB,LabB,32.7,100
TargetB,LabB,31.97,100
TargetB,LabB,32.14,100
TargetB,LabB,31.98,100
TargetB,LabB,32.13,100
TargetB,LabB,32.44,100
TargetB,LabB,31.63,100
TargetB,LabB,32.01,100
TargetB,LabB,31.76,100
TargetB,LabB,32.33,100
TargetB,LabB,31.98,100
TargetB,LabB,32.13,100
TargetB,LabB,32.16,100
TargetB,LabB,32.3,100
TargetB,LabB,35.05,20
TargetB,LabB,34.2,20
TargetB,LabB,36.06,20
TargetB,LabB,34.29,20
TargetB,LabB,34.29,20
TargetB,LabB,34.33,20
TargetB,LabB,38.19,20
TargetB,LabB,35.36,20
TargetB,LabB,35.05,20
TargetB,LabB,35.08,20
TargetB,LabB,34.23,20
TargetB,LabB,33.91,20
TargetB,LabB,36.46,20
TargetB,LabB,33.94,20
TargetB,LabB,34.75,20
TargetB,LabB,36.01,20
TargetB,LabB,34.7,20
TargetB,LabB,34.61,20
TargetB,LabB,35.29,20
TargetB,LabB,35.07,20
TargetB,LabB,34.88,20
TargetB,LabB,35.45,20
TargetB,LabB,36.16,20
TargetB,LabB,34.61,20
TargetB,LabB,37.03,4
TargetB,LabB,37.43,4
TargetB,LabB,NA,4
TargetB,LabB,37.12,4
TargetB,LabB,37.24,4
TargetB,LabB,37.62,4
TargetB,LabB,36.52,4
TargetB,LabB,NA,4
TargetB,LabB,36.34,4
TargetB,LabB,NA,4
TargetB,LabB,37.42,4
TargetB,LabB,36.94,4
TargetB,LabB,NA,4
TargetB,LabB,37.41,4
TargetB,LabB,NA,4
TargetB,LabB,36.83,4
TargetB,LabB,36.04,4
TargetB,LabB,35.78,4
TargetB,LabB,36.84,4
TargetB,LabB,37.51,4
TargetB,LabB,36.52,4
TargetB,LabB,36.29,4
TargetB,LabB,36.62,4
TargetB,LabB,38.33,4
TargetB,LabB,36.59,0.8
TargetB,LabB,36.86,0.8
TargetB,LabB,37.3,0.8
TargetB,LabB,37.68,0.8
TargetB,LabB,38.2,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,36.78,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,37.68,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,35.56,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,38.36,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,NA,0.8
TargetB,LabB,NA,0.16
TargetB,LabB,37.98,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,38.39,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,37.31,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,37.44,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.16
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0.032
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
